firstName,lastName,email,department,position,basicSalary,gender,phone,dateJoined
Emmanuel,Osei,emmanuel.osei.1@thenoveltyconcepts.com,Marketing,Content Creator,6588,Male,+233206619727,2022-12-03
Abena,Appiah,abena.appiah.2@thenoveltyconcepts.com,IT,QA Analyst,8266,Male,+233203491881,2016-08-04
Kofi,Annan,kofi.annan.3@thenoveltyconcepts.com,Legal,Compliance Officer,7414,Male,+233202503201,2020-04-23
Prince,Danquah,prince.danquah.4@thenoveltyconcepts.com,Operations,Admin Assistant,10043,Male,+233205713332,2022-04-21
Abigail,Asare,abigail.asare.5@thenoveltyconcepts.com,Legal,Compliance Officer,10482,Female,+233206722383,2017-03-15
Afia,Appiah,afia.appiah.6@thenoveltyconcepts.com,Legal,Legal Assistant,4127,Female,+233201705000,2020-05-15
Maame,Frimpong,maame.frimpong.7@thenoveltyconcepts.com,HR,HR Assistant,4914,Female,+233206571737,2019-08-24
Abigail,Quansah,abigail.quansah.8@thenoveltyconcepts.com,HR,HR Officer,6575,Female,+233208282824,2025-04-14
Kofi,Baah,kofi.baah.9@thenoveltyconcepts.com,Operations,Admin Assistant,9918,Female,+233208764983,2017-12-19
Afia,Sarpong,afia.sarpong.10@thenoveltyconcepts.com,IT,IT Manager,15844,Female,+233208087056,2020-07-27
Ama,Annan,ama.annan.11@thenoveltyconcepts.com,IT,IT Support Specialist,6744,Male,+233202473761,2020-07-22
Akosua,Quansah,akosua.quansah.12@thenoveltyconcepts.com,IT,Software Engineer,3957,Female,+233206025749,2022-01-23
Daniel,Annan,daniel.annan.13@thenoveltyconcepts.com,Legal,Legal Assistant,8968,Female,+233203037493,2018-12-18
Nana,Frimpong,nana.frimpong.14@thenoveltyconcepts.com,Operations,Operations Officer,3532,Female,+233206241667,2017-08-02
Kow,Yeboah,kow.yeboah.15@thenoveltyconcepts.com,Finance,Payroll Clerk,7396,Male,+233207418561,2022-11-14
Kojo,Tetteh,kojo.tetteh.16@thenoveltyconcepts.com,IT,Software Engineer,5212,Male,+233202715480,2023-03-16
Patricia,Oppong,patricia.oppong.17@thenoveltyconcepts.com,IT,IT Support Specialist,5345,Male,+233204550230,2019-08-18
Blessing,Boateng,blessing.boateng.18@thenoveltyconcepts.com,HR,Talent Acquisition Specialist,6738,Female,+233205709131,2017-11-30
Afia,Baah,afia.baah.19@thenoveltyconcepts.com,Finance,Accountant,5070,Male,+233201824059,2022-02-15
Kwame,Tetteh,kwame.tetteh.20@thenoveltyconcepts.com,IT,IT Manager,19570,Female,+233204642532,2019-05-21
Daniel,Donkor,daniel.donkor.21@thenoveltyconcepts.com,Sales,Sales Representative,4081,Female,+233207146767,2016-10-17
Emmanuel,Osei,emmanuel.osei.22@thenoveltyconcepts.com,Operations,Facility Coordinator,10894,Male,+233207878189,2022-08-12
Kojo,Annan,kojo.annan.23@thenoveltyconcepts.com,IT,Software Engineer,9430,Female,+233205542225,2023-06-16
Kwaku,Yeboah,kwaku.yeboah.24@thenoveltyconcepts.com,IT,DevOps Engineer,9506,Male,+233202625720,2016-02-17
Kow,Donkor,kow.donkor.25@thenoveltyconcepts.com,Sales,Sales Representative,5991,Male,+233206426383,2017-01-29
Kwesi,Asare,kwesi.asare.26@thenoveltyconcepts.com,Sales,Account Executive,4650,Male,+233208974628,2024-12-22
Michael,Turkson,michael.turkson.27@thenoveltyconcepts.com,IT,QA Analyst,9918,Female,+233201116686,2022-01-25
Isaac,Frimpong,isaac.frimpong.28@thenoveltyconcepts.com,IT,QA Analyst,8985,Male,+233208589834,2022-01-29
Abena,Adjei,abena.adjei.29@thenoveltyconcepts.com,IT,DevOps Engineer,3073,Male,+233204478966,2025-05-11
Kwaku,Baah,kwaku.baah.30@thenoveltyconcepts.com,Sales,Account Executive,7910,Female,+233204232533,2018-09-14
Akosua,Kwarteng,akosua.kwarteng.31@thenoveltyconcepts.com,HR,HR Assistant,6596,Male,+233207063936,2024-08-15
Akosua,Nkansah,akosua.nkansah.32@thenoveltyconcepts.com,Operations,Logistics Coordinator,10504,Male,+233205634178,2024-10-27
Yaa,Appiah,yaa.appiah.33@thenoveltyconcepts.com,Legal,Legal Assistant,5882,Female,+233201729801,2023-02-09
Yaa,Annan,yaa.annan.34@thenoveltyconcepts.com,Sales,Account Executive,4842,Male,+233205265415,2021-11-08
Isaac,Bonsu,isaac.bonsu.35@thenoveltyconcepts.com,Sales,Sales Representative,4445,Female,+233204474602,2018-03-20
Kwame,Yeboah,kwame.yeboah.36@thenoveltyconcepts.com,Sales,Account Executive,5736,Female,+233202787747,2018-02-24
Nana,Tetteh,nana.tetteh.37@thenoveltyconcepts.com,HR,HR Assistant,9738,Male,+233202288939,2024-09-19
Afia,Yeboah,afia.yeboah.38@thenoveltyconcepts.com,Finance,Payroll Clerk,5827,Male,+233208820292,2016-12-26
Akua,Baah,akua.baah.39@thenoveltyconcepts.com,Sales,Business Development Assoc.,10553,Female,+233202910155,2023-05-26
Kwaku,Acheampong,kwaku.acheampong.40@thenoveltyconcepts.com,Finance,Payroll Clerk,5367,Male,+233204363615,2023-02-18
Isaac,Frimpong,isaac.frimpong.41@thenoveltyconcepts.com,Marketing,SEO Specialist,4485,Male,+233209860835,2021-11-28
Gifty,Mensah,gifty.mensah.42@thenoveltyconcepts.com,Finance,Payroll Clerk,5724,Female,+233206268399,2022-07-23
Maame,Asare,maame.asare.43@thenoveltyconcepts.com,Operations,Facility Coordinator,5278,Male,+233208535338,2025-09-04
Yaa,Sarpong,yaa.sarpong.44@thenoveltyconcepts.com,Sales,Sales Representative,4735,Male,+233205632814,2023-11-27
Yaa,Donkor,yaa.donkor.45@thenoveltyconcepts.com,Legal,Legal Assistant,7315,Male,+233205715963,2018-09-17
Kofi,Adjei,kofi.adjei.46@thenoveltyconcepts.com,Marketing,Social Media Manager,7217,Male,+233207403142,2023-08-13
Adjoa,Sarpong,adjoa.sarpong.47@thenoveltyconcepts.com,Legal,Compliance Officer,8622,Female,+233205140231,2020-07-01
Kwame,Acheampong,kwame.acheampong.48@thenoveltyconcepts.com,Marketing,Content Creator,8639,Female,+233208185824,2017-07-24
Kwame,Danquah,kwame.danquah.49@thenoveltyconcepts.com,HR,Benefits Coordinator,10014,Male,+233203297231,2022-10-09
Akosua,Kwarteng,akosua.kwarteng.50@thenoveltyconcepts.com,Operations,Admin Assistant,7693,Male,+233207207285,2024-05-04
Kwaku,Owusu,kwaku.owusu.51@thenoveltyconcepts.com,Finance,Accountant,9910,Female,+233206656583,2018-03-19
Kojo,Boateng,kojo.boateng.52@thenoveltyconcepts.com,Sales,Account Executive,3127,Male,+233201147468,2017-02-07
Akua,Kwarteng,akua.kwarteng.53@thenoveltyconcepts.com,Operations,Operations Officer,4937,Female,+233207055051,2021-04-13
Isaac,Adjei,isaac.adjei.54@thenoveltyconcepts.com,Operations,Logistics Coordinator,4255,Female,+233201443428,2018-02-14
Adjoa,Yiadom,adjoa.yiadom.55@thenoveltyconcepts.com,Operations,Operations Officer,7057,Male,+233205734461,2024-04-25
Michael,Gyamfi,michael.gyamfi.56@thenoveltyconcepts.com,HR,Benefits Coordinator,5151,Male,+233208547843,2019-01-23
Prince,Acheampong,prince.acheampong.57@thenoveltyconcepts.com,Legal,Legal Assistant,4178,Male,+233203743033,2025-07-15
Adjoa,Kwarteng,adjoa.kwarteng.58@thenoveltyconcepts.com,Legal,Paralegal,4985,Male,+233201430132,2021-10-23
Ama,Bonsu,ama.bonsu.59@thenoveltyconcepts.com,Marketing,Social Media Manager,4911,Male,+233209364165,2019-05-31
Daniel,Baah,daniel.baah.60@thenoveltyconcepts.com,Finance,Auditor,3983,Female,+233202672453,2024-02-03
Prince,Baah,prince.baah.61@thenoveltyconcepts.com,HR,HR Officer,5961,Male,+233208239408,2022-06-10
