email,leaveType,daysAllocated,year,daysUsed
emmanuel.osei.1@thenoveltyconcepts.com,Annual Leave,21,2026,0
emmanuel.osei.1@thenoveltyconcepts.com,Sick Leave,20,2026,0
emmanuel.osei.1@thenoveltyconcepts.com,Compassionate Leave,5,2026,0
emmanuel.osei.1@thenoveltyconcepts.com,Casual Leave,6,2026,0
emmanuel.osei.1@thenoveltyconcepts.com,Study Leave,10,2026,0
emmanuel.osei.1@thenoveltyconcepts.com,Paternity Leave,5,2026,0
abena.appiah.2@thenoveltyconcepts.com,Annual Leave,29,2026,2
abena.appiah.2@thenoveltyconcepts.com,Sick Leave,14,2026,0
abena.appiah.2@thenoveltyconcepts.com,Compassionate Leave,9,2026,2
abena.appiah.2@thenoveltyconcepts.com,Casual Leave,5,2026,0
abena.appiah.2@thenoveltyconcepts.com,Study Leave,18,2026,0
abena.appiah.2@thenoveltyconcepts.com,Paternity Leave,5,2026,0
kofi.annan.3@thenoveltyconcepts.com,Annual Leave,22,2026,1
kofi.annan.3@thenoveltyconcepts.com,Sick Leave,15,2026,0
kofi.annan.3@thenoveltyconcepts.com,Compassionate Leave,10,2026,0
kofi.annan.3@thenoveltyconcepts.com,Casual Leave,9,2026,0
kofi.annan.3@thenoveltyconcepts.com,Study Leave,14,2026,0
kofi.annan.3@thenoveltyconcepts.com,Paternity Leave,5,2026,0
prince.danquah.4@thenoveltyconcepts.com,Annual Leave,17,2026,0
prince.danquah.4@thenoveltyconcepts.com,Sick Leave,21,2026,0
prince.danquah.4@thenoveltyconcepts.com,Compassionate Leave,5,2026,0
prince.danquah.4@thenoveltyconcepts.com,Casual Leave,8,2026,0
prince.danquah.4@thenoveltyconcepts.com,Study Leave,12,2026,0
prince.danquah.4@thenoveltyconcepts.com,Paternity Leave,5,2026,0
abigail.asare.5@thenoveltyconcepts.com,Annual Leave,25,2026,9
abigail.asare.5@thenoveltyconcepts.com,Sick Leave,20,2026,0
abigail.asare.5@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
abigail.asare.5@thenoveltyconcepts.com,Casual Leave,5,2026,0
abigail.asare.5@thenoveltyconcepts.com,Study Leave,10,2026,0
abigail.asare.5@thenoveltyconcepts.com,Maternity Leave,60,2026,0
afia.appiah.6@thenoveltyconcepts.com,Annual Leave,29,2026,0
afia.appiah.6@thenoveltyconcepts.com,Sick Leave,17,2026,0
afia.appiah.6@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
afia.appiah.6@thenoveltyconcepts.com,Casual Leave,6,2026,0
afia.appiah.6@thenoveltyconcepts.com,Study Leave,10,2026,0
afia.appiah.6@thenoveltyconcepts.com,Maternity Leave,60,2026,0
maame.frimpong.7@thenoveltyconcepts.com,Annual Leave,15,2026,0
maame.frimpong.7@thenoveltyconcepts.com,Sick Leave,20,2026,0
maame.frimpong.7@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
maame.frimpong.7@thenoveltyconcepts.com,Casual Leave,9,2026,0
maame.frimpong.7@thenoveltyconcepts.com,Study Leave,17,2026,0
maame.frimpong.7@thenoveltyconcepts.com,Maternity Leave,60,2026,0
abigail.quansah.8@thenoveltyconcepts.com,Annual Leave,24,2026,0
abigail.quansah.8@thenoveltyconcepts.com,Sick Leave,21,2026,0
abigail.quansah.8@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
abigail.quansah.8@thenoveltyconcepts.com,Casual Leave,6,2026,0
abigail.quansah.8@thenoveltyconcepts.com,Study Leave,10,2026,0
abigail.quansah.8@thenoveltyconcepts.com,Maternity Leave,60,2026,0
kofi.baah.9@thenoveltyconcepts.com,Annual Leave,23,2026,0
kofi.baah.9@thenoveltyconcepts.com,Sick Leave,18,2026,0
kofi.baah.9@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
kofi.baah.9@thenoveltyconcepts.com,Casual Leave,5,2026,0
kofi.baah.9@thenoveltyconcepts.com,Study Leave,20,2026,0
kofi.baah.9@thenoveltyconcepts.com,Maternity Leave,60,2026,0
afia.sarpong.10@thenoveltyconcepts.com,Annual Leave,18,2026,0
afia.sarpong.10@thenoveltyconcepts.com,Sick Leave,20,2026,0
afia.sarpong.10@thenoveltyconcepts.com,Compassionate Leave,10,2026,0
afia.sarpong.10@thenoveltyconcepts.com,Casual Leave,9,2026,0
afia.sarpong.10@thenoveltyconcepts.com,Study Leave,19,2026,0
afia.sarpong.10@thenoveltyconcepts.com,Maternity Leave,60,2026,0
ama.annan.11@thenoveltyconcepts.com,Annual Leave,18,2026,2
ama.annan.11@thenoveltyconcepts.com,Sick Leave,14,2026,0
ama.annan.11@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
ama.annan.11@thenoveltyconcepts.com,Casual Leave,7,2026,0
ama.annan.11@thenoveltyconcepts.com,Study Leave,16,2026,0
ama.annan.11@thenoveltyconcepts.com,Paternity Leave,5,2026,0
akosua.quansah.12@thenoveltyconcepts.com,Annual Leave,30,2026,0
akosua.quansah.12@thenoveltyconcepts.com,Sick Leave,15,2026,0
akosua.quansah.12@thenoveltyconcepts.com,Compassionate Leave,5,2026,0
akosua.quansah.12@thenoveltyconcepts.com,Casual Leave,8,2026,0
akosua.quansah.12@thenoveltyconcepts.com,Study Leave,12,2026,0
akosua.quansah.12@thenoveltyconcepts.com,Maternity Leave,60,2026,0
