email,title,description,status,progress
yaa.bonsu.1512@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
yaa.bonsu.1512@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
prince.amankwah.210@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
prince.amankwah.210@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,61
prince.amankwah.210@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
kow.sarpong.1606@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
prince.appiah.550@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,COMPLETED,100
michael.mensah.1431@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
michael.mensah.1431@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,NOT_STARTED,0
sampson.adu.1011@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
sampson.adu.1011@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
kow.tetteh.1264@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
kow.tetteh.1264@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,COMPLETED,100
emmanuel.mensah.1237@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,41
rita.tetteh.779@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
rita.tetteh.779@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",MISSED,0
rita.tetteh.779@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",MISSED,0
michael.quansah.411@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
gifty.oppong.1295@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
gifty.oppong.1295@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
gifty.oppong.1295@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
kofi.donkor.1912@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",NOT_STARTED,0
afia.adjei.1212@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
abigail.asare.5@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,COMPLETED,100
abigail.asare.5@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,15
abigail.asare.5@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
maame.danquah.1745@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,NOT_STARTED,0
maame.danquah.1745@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
maame.gyamfi.987@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,IN_PROGRESS,78
maame.gyamfi.987@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,12
michael.bonsu.1951@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
michael.bonsu.1951@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",MISSED,0
michael.bonsu.1951@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
prince.turkson.1929@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
prince.baah.733@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
prince.baah.733@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,NOT_STARTED,0
