email,name,issuer,issueDate,url
abigail.amankwah.754@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2023-04-30,https://certs.provider.com/verify/33011
ebenezer.mensah.1672@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2024-03-10,https://certs.provider.com/verify/11336
kow.appiah.263@thenoveltyconcepts.com,Negotiation Masterclass,Professional Institute,2025-10-22,https://certs.provider.com/verify/52771
kow.appiah.263@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2025-05-17,https://certs.provider.com/verify/64771
kojo.owusu.83@thenoveltyconcepts.com,CPA,Professional Institute,2024-12-09,https://certs.provider.com/verify/52186
gifty.quansah.983@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2024-06-10,https://certs.provider.com/verify/36353
samuel.quansah.519@thenoveltyconcepts.com,Google Cloud Architect,Google,2024-01-20,https://certs.provider.com/verify/83056
kow.turkson.935@thenoveltyconcepts.com,SEO Fundamentals,Professional Institute,2025-05-02,https://certs.provider.com/verify/41521
kow.turkson.935@thenoveltyconcepts.com,Digital Marketing Specialist,Professional Institute,2023-09-20,https://certs.provider.com/verify/71582
kwesi.asare.1167@thenoveltyconcepts.com,ACCA,Professional Institute,2025-05-22,https://certs.provider.com/verify/36438
rita.adjei.246@thenoveltyconcepts.com,Project Management Professional (PMP),Professional Institute,2023-06-11,https://certs.provider.com/verify/87023
rita.adjei.246@thenoveltyconcepts.com,Supply Chain Management,Professional Institute,2023-11-13,https://certs.provider.com/verify/64980
adjoa.appiah.1904@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2023-10-15,https://certs.provider.com/verify/18082
yaa.danquah.936@thenoveltyconcepts.com,Six Sigma Green Belt,Professional Institute,2024-04-25,https://certs.provider.com/verify/29362
ama.osei.1804@thenoveltyconcepts.com,Digital Marketing Specialist,Professional Institute,2023-05-03,https://certs.provider.com/verify/15086
ama.osei.1804@thenoveltyconcepts.com,Google Analytics,Professional Institute,2025-04-15,https://certs.provider.com/verify/18390
prince.mensah.166@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2025-08-26,https://certs.provider.com/verify/57311
patricia.acheampong.626@thenoveltyconcepts.com,Google Analytics,Professional Institute,2025-07-04,https://certs.provider.com/verify/64008
rita.nkansah.69@thenoveltyconcepts.com,Negotiation Masterclass,Professional Institute,2024-01-15,https://certs.provider.com/verify/47609
rita.frimpong.1847@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2024-04-03,https://certs.provider.com/verify/86418
rita.frimpong.1847@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2025-05-30,https://certs.provider.com/verify/80630
kwame.sarpong.1122@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2025-07-28,https://certs.provider.com/verify/73077
kwame.sarpong.1122@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2023-12-08,https://certs.provider.com/verify/73503
gifty.kwarteng.125@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2024-06-28,https://certs.provider.com/verify/16422
kwaku.tetteh.636@thenoveltyconcepts.com,Project Management Professional (PMP),Professional Institute,2025-06-03,https://certs.provider.com/verify/40555
kwaku.tetteh.636@thenoveltyconcepts.com,Supply Chain Management,Professional Institute,2025-10-14,https://certs.provider.com/verify/54131
kwame.frimpong.1336@thenoveltyconcepts.com,ACCA,Professional Institute,2025-12-14,https://certs.provider.com/verify/12439
maame.donkor.1132@thenoveltyconcepts.com,Supply Chain Management,Professional Institute,2024-10-04,https://certs.provider.com/verify/64162
maame.donkor.1132@thenoveltyconcepts.com,Six Sigma Green Belt,Professional Institute,2024-02-17,https://certs.provider.com/verify/29682
yaa.oppong.856@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2025-11-02,https://certs.provider.com/verify/85553
sampson.acheampong.691@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2025-03-30,https://certs.provider.com/verify/18214
kwaku.sarpong.1744@thenoveltyconcepts.com,Digital Marketing Specialist,Professional Institute,2024-05-27,https://certs.provider.com/verify/28325
yaw.tetteh.570@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2025-03-01,https://certs.provider.com/verify/22068
yaw.tetteh.570@thenoveltyconcepts.com,Negotiation Masterclass,Professional Institute,2025-06-07,https://certs.provider.com/verify/80455
kojo.turkson.1150@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2024-12-08,https://certs.provider.com/verify/32580
kojo.turkson.1150@thenoveltyconcepts.com,Salesforce Administrator,Professional Institute,2025-03-21,https://certs.provider.com/verify/69097
michael.donkor.1770@thenoveltyconcepts.com,AWS Certified Developer,AWS,2025-05-16,https://certs.provider.com/verify/79141
ebenezer.gyamfi.1924@thenoveltyconcepts.com,React Nanodegree,Udacity,2024-12-16,https://certs.provider.com/verify/25290
michael.quansah.144@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2024-01-21,https://certs.provider.com/verify/56267
michael.quansah.144@thenoveltyconcepts.com,Salesforce Administrator,Professional Institute,2024-09-07,https://certs.provider.com/verify/74661
ebenezer.adjei.353@thenoveltyconcepts.com,Excel Expert,Professional Institute,2025-12-01,https://certs.provider.com/verify/84932
yaa.appiah.132@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2024-08-26,https://certs.provider.com/verify/17164
yaa.appiah.132@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2024-09-06,https://certs.provider.com/verify/82233
sampson.frimpong.1467@thenoveltyconcepts.com,ACCA,Professional Institute,2024-09-03,https://certs.provider.com/verify/93510
sampson.frimpong.1467@thenoveltyconcepts.com,Excel Expert,Professional Institute,2025-11-05,https://certs.provider.com/verify/45662
abena.quansah.425@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2025-10-11,https://certs.provider.com/verify/64714
samuel.adu.1410@thenoveltyconcepts.com,Google Cloud Architect,Google,2024-12-14,https://certs.provider.com/verify/92615
samuel.adu.1410@thenoveltyconcepts.com,React Nanodegree,Udacity,2023-12-14,https://certs.provider.com/verify/61724
kofi.nkansah.1355@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2025-04-14,https://certs.provider.com/verify/26930
kofi.nkansah.1355@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2025-04-30,https://certs.provider.com/verify/88449
akosua.turkson.1640@thenoveltyconcepts.com,SHRM-CP,SHRM,2025-07-31,https://certs.provider.com/verify/92366
michael.owusu.1356@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2025-09-25,https://certs.provider.com/verify/16116
